gene,gene_symbol,llm_score,rationale
ENSG00000100146.18,SOX10,25,"SOX10 is mentioned only once in abstract 4 as a transcriptional regulator of NGFR+ stromal cells in colorectal cancer, but this is a minor finding within a broader study of stromal organization and not focused on SOX10's biomarker potential."
ENSG00000137673.9,MMP7,75,"The abstracts provide strong CRC-specific evidence for MMP7 as a biomarker, with multiple studies demonstrating elevated expression in CRC tissues and serum, prognostic value for overall survival, and mechanistic involvement in invasion/migration pathways, though biomarker validation remains emerging rather than fully established."
ENSG00000078596.11,ITM2A,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for ITM2A.
ENSG00000108018.15,SORCS1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SORCS1.
ENSG00000104267.10,CA2,0,No abstracts provided for evaluation.
ENSG00000170454.6,KRT75,0,No abstracts provided for evaluation.
ENSG00000050030.16,NEXMIF,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the NEXMIF gene.
ENSG00000187699.10,AKAP19,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for AKAP19.
ENSG00000116194.13,ANGPTL1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for ANGPTL1.
ENSG00000164283.13,ESM1,75,"The abstracts provide strong CRC-specific evidence with ESM1 identified as a prognostic biomarker in metastatic CRC (elevated levels predict poor treatment response and survival outcomes) and as a progression-significant biomarker across CRC stages, though validation as an established clinical biomarker is still emerging."
ENSG00000168309.18,FAM107A,85,"The abstracts provide strong, direct evidence for FAM107A as a CRC biomarker with clear tumor suppressor functions, mechanistic insights through DNMT1/FOXM1 and AKT/EMT pathways, and therapeutic potential as demonstrated by multiple functional studies."
ENSG00000186007.10,LEMD1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the LEMD1 gene.
ENSG00000175832.13,ETV4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000168875.3,SOX14,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SOX14.
ENSG00000018236.15,CNTN1,0,No abstracts provided for evaluation.
ENSG00000153253.19,SCN3A,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SCN3A.
ENSG00000213468.7,FIRRE,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the FIRRE gene.
ENSG00000164120.14,HPGD,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the HPGD gene.
ENSG00000169252.6,ADRB2,65,"Abstract [2] provides strong CRC-specific evidence showing ADRB2 (β2-adrenergic receptor) expression in colorectal cancer liver metastasis and demonstrates its mechanistic role in norepinephrine-driven tumor progression through Kupffer cell reprogramming, but the biomarker utility is primarily in the metastatic context rather than as a general CRC diagnostic marker."
ENSG00000167912.6,TOX-DT,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the TOX-DT gene.
ENSG00000249162.1,ADAM20P3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for ADAM20P3.
ENSG00000170954.11,ZNF415,20,"While colorectal cancer is mentioned in multiple abstracts, ZNF415 is not specifically discussed in any of them, providing no evidence for its role as a CRC biomarker."
ENSG00000153823.19,PID1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000125675.18,GRIA3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for GRIA3.
ENSG00000019102.12,VSIG2,0,No abstracts provided for evaluation.
ENSG00000224721.1,FLVCR2-AS1,0,No abstracts provided for evaluation.
ENSG00000160712.13,IL6R,0,No abstracts provided for evaluation.
ENSG00000197766.8,CFD,15,"CFD is only mentioned tangentially in one abstract about high-altitude exposure and gut microbiota, where colorectal cancer is listed among various diseases without any specific evidence linking CFD to CRC biomarker potential."
ENSG00000163145.13,C1QTNF7,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene C1QTNF7.
ENSG00000137077.8,CCL21,0,No abstracts provided for evaluation.
ENSG00000277586.4,NEFL,0,No abstracts provided for evaluation.
ENSG00000167916.5,KRT24,20,The abstracts mention colorectal cancer screening and diagnosis but do not contain any evidence about KRT24 as a CRC biomarker - the gene is not discussed in any of the provided abstracts.
ENSG00000138615.6,CILP,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the CILP gene.
ENSG00000109132.7,PHOX2B,0,No abstracts provided for evaluation.
ENSG00000154175.18,ABI3BP,0,No abstracts provided for evaluation.
ENSG00000119919.11,NKX2-3,0,No abstracts provided for evaluation.
ENSG00000047457.14,CP,25,"While colorectal cancer is mentioned in abstracts 2, 4, and 5, the gene CP (ceruloplasmin) is not specifically discussed in any of the provided abstracts, which focus on other topics like inflammatory bowel disease, PIWI proteins, chronic pancreatitis, and cathepsin E."
ENSG00000205364.4,MT1M,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the MT1M gene.
ENSG00000154721.15,JAM2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for JAM2.
ENSG00000147588.7,PMP2,0,No abstracts provided for evaluation - all abstracts are marked as 'nan' or contain no content related to the PMP2 gene.
ENSG00000171431.4,KRT20,75,"The abstracts provide strong evidence for KRT20 (CK20) as a CRC biomarker, with multiple studies demonstrating its use in immunohistochemical profiling to distinguish colorectal adenocarcinoma from other cancer types and confirm metastatic CRC diagnosis, though the evidence focuses more on diagnostic utility than prognostic applications."
ENSG00000171819.5,ANGPTL7,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the ANGPTL7 gene.
ENSG00000197565.16,COL4A6,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for COL4A6.
ENSG00000254645.2,LOC105376567,0,No abstracts provided for evaluation.
ENSG00000188373.5,GPR15LG,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for GPR15LG.
ENSG00000271447.6,MMP28,75,"The abstracts provide strong CRC-specific evidence for MMP28 as a biomarker, showing consistent downregulation in CRC tissues, association with metastasis through the CD36-MMP28-E-cadherin axis, and potential prognostic value, though validation as an established clinical biomarker is still emerging."
ENSG00000181804.15,SLC9A9,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000137634.10,NXPE4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene NXPE4.
ENSG00000132514.14,CLEC10A,0,"No abstracts provided contain evidence about CLEC10A as a colorectal cancer biomarker - the abstracts discuss surgical techniques, nutrition, and other unrelated topics without mentioning CLEC10A."
ENSG00000224650.2,IGHV3-74,20,"While multiple abstracts mention colorectal cancer, IGHV3-74 is not specifically discussed as a CRC biomarker in any of the provided abstracts, with most focusing on treatment strategies, other molecular targets, or antibody characterization unrelated to IGHV3-74."
ENSG00000107562.16,CXCL12,85,"The abstracts provide strong, direct evidence for CXCL12 as a CRC biomarker with clear diagnostic, prognostic, and therapeutic relevance across multiple studies demonstrating its role in metastasis, immune evasion, and treatment response."
ENSG00000213088.12,ACKR1,65,"The abstracts provide strong CRC-specific evidence for ACKR1 as a biomarker, particularly showing its role in endothelial cell activation and tumor progression through CXCL2 interaction, with mechanistic insights into metastasis pathways, though validation as an established clinical biomarker is still emerging."
ENSG00000146013.11,GFRA3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for GFRA3.
ENSG00000224189.8,HAGLR,15,"The abstracts contain minimal CRC biomarker evidence for HAGLR, with only tangential mentions of colorectal cancer in technical/clinical contexts without any specific molecular or biomarker data about this gene."
ENSG00000172137.19,CALB2,5,"The abstracts contain minimal CRC-specific content, with only one abstract mentioning colorectal cancer screening prevalence in a population study without any biomarker-related findings for CALB2."
ENSG00000146151.14,HMGCLL1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene HMGCLL1.
ENSG00000163687.14,DNASE1L3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for DNASE1L3.
ENSG00000226087.2,LOC105374588,0,No abstracts provided for evaluation.
ENSG00000092421.17,SEMA6A,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SEMA6A.
ENSG00000078549.15,ADCYAP1R1,0,No abstracts provided for evaluation.
ENSG00000167701.14,GPT,20,"The abstracts mention colorectal cancer only in passing or as context for other research topics (surgical techniques, AI analysis tools, anesthesia methods) rather than providing evidence for GPT as a CRC biomarker."
ENSG00000144339.12,TMEFF2,0,No abstracts provided for evaluation.
ENSG00000154262.13,ABCA6,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for ABCA6.
ENSG00000133083.15,DCLK1,0,No abstracts provided for evaluation.
ENSG00000172005.11,MAL,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the MAL gene.
ENSG00000168229.4,PTGDR,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000151892.15,GFRA1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for GFRA1.
ENSG00000173175.15,ADCY5,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000105894.12,PTN,0,No abstracts provided for evaluation.
ENSG00000166816.15,LDHD,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the LDHD gene.
ENSG00000104892.17,KLC3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene KLC3.
ENSG00000151623.15,NR3C2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000116748.21,AMPD1,20,"While abstracts mention colorectal cancer in passing (screening methods, colon cancer cell lines, and colon cancer models), none provide evidence for AMPD1 as a CRC biomarker - the gene is not mentioned in any abstract."
ENSG00000113580.15,NR3C1,0,No abstracts provided for evaluation.
ENSG00000070748.19,CHAT,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the CHAT gene.
ENSG00000171951.5,SCG2,15,"SCG2 is not mentioned in any of the provided abstracts, which focus on colorectal cancer nomograms, surgical techniques, genetic correlations with Alzheimer's disease, and other biomarkers (endocan, PDGF, MACC1, IER2) but contain no evidence regarding SCG2 as a CRC biomarker."
ENSG00000162992.4,NEUROD1,20,"While colorectal cancer is mentioned in several abstracts, NEUROD1 is not discussed in any of them, providing no evidence for its role as a CRC biomarker."
ENSG00000155850.8,SLC26A2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000223812.8,PYDC2-AS1,0,No abstracts provided for evaluation.
ENSG00000113396.13,SLC27A6,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000172031.7,EPHX4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the EPHX4 gene.
ENSG00000137868.19,STRA6,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the STRA6 gene.
ENSG00000118777.12,ABCG2,0,No abstracts provided for evaluation.
ENSG00000113303.12,BTNL8,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the BTNL8 gene.
ENSG00000168477.19,TNXB,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the TNXB gene.
ENSG00000170369.4,CST2,75,"The abstracts provide strong CRC-specific evidence for CST2 as a biomarker, with Abstract 3 directly demonstrating its diagnostic and prognostic utility in colorectal cancer, showing correlation with advanced stages, disease-free survival, and overall survival. Abstract 1 further supports CST2's inclusion in a validated prognostic signature for colon adenocarcinoma."
ENSG00000174944.9,P2RY14,0,No abstracts provided for evaluation.
ENSG00000130294.17,KIF1A,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for KIF1A.
ENSG00000102683.8,SGCG,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SGCG gene.
ENSG00000197561.7,ELANE,0,No abstracts provided for evaluation.
ENSG00000251546.1,IGKV1D-39,0,No abstracts provided for evaluation.
ENSG00000127083.7,OMD,0,No abstracts provided for evaluation.
ENSG00000184144.12,CNTN2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000048052.22,HDAC9,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for HDAC9.
ENSG00000105464.3,GRIN2D,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000120149.9,MSX2,15,The abstracts mention colorectal cancer in various contexts but provide no evidence that MSX2 is a CRC biomarker - the gene is not mentioned in any of the provided abstracts.
ENSG00000204065.3,TCEAL5,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene TCEAL5.
ENSG00000144290.17,SLC4A10,0,No abstracts provided for evaluation.
ENSG00000162409.11,PRKAA2,45,"The abstracts mention colorectal cancer in the context of AMPK signaling and autophagy modulation, but PRKAA2 (AMPK alpha-2 subunit) is not the primary focus and evidence is largely indirect or pan-cancer rather than CRC-specific."
ENSG00000101115.13,SALL4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SALL4 gene.
ENSG00000169313.10,P2RY12,0,No abstracts provided for evaluation.
ENSG00000170382.12,LRRN2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the LRRN2 gene.
ENSG00000150625.16,GPM6A,0,No abstracts provided for evaluation.
ENSG00000036672.16,USP2,65,"The abstracts provide strong CRC-specific evidence for USP2, including its identification as a signature gene for CRC diagnosis through machine learning approaches, its role in chemoresistance mechanisms, and involvement in metastasis pathways, though biomarker validation appears to be in early stages."
ENSG00000178031.17,ADAMTSL1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the ADAMTSL1 gene.
ENSG00000048462.11,TNFRSF17,20,"The abstracts mention colon/colorectal cancer only tangentially in broader cancer studies, with no specific evidence for TNFRSF17 as a CRC biomarker or any direct mechanistic role in CRC."
ENSG00000095110.8,NXPE1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the NXPE1 gene.
ENSG00000013293.6,SLC7A14,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene SLC7A14.
ENSG00000287750.1,LOC124902202,0,No abstracts provided for evaluation.
ENSG00000187398.12,LUZP2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the LUZP2 gene.
ENSG00000146039.11,SLC17A4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene SLC17A4.
ENSG00000169218.14,RSPO1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000133169.6,BEX1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the BEX1 gene.
ENSG00000139200.14,PIANP,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the PIANP gene.
ENSG00000144218.19,AFF3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the AFF3 gene.
ENSG00000132872.12,SYT4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SYT4 gene.
ENSG00000225698.3,IGHV3-72,20,"While multiple abstracts mention colorectal cancer, IGHV3-72 is not specifically discussed as a CRC biomarker in any of the provided abstracts, with most focusing on treatment strategies, other molecular targets, or antibody characterization rather than IGHV3-72's biomarker potential."
ENSG00000270372.1,LINC03131,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for LINC03131.
ENSG00000107295.10,SH3GL2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SH3GL2 gene.
ENSG00000145287.11,PLAC8,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the PLAC8 gene.
ENSG00000214652.6,ZNF727,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for ZNF727.
ENSG00000227243.3,SLAMF6P1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000157404.16,KIT,15,"The abstracts focus on colorectal cancer screening methods and patient experiences but do not mention the KIT gene at all, providing no evidence for KIT as a CRC biomarker."
ENSG00000274736.5,CCL23,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for CCL23.
ENSG00000166501.14,PRKCB,65,"The abstracts provide strong CRC-specific evidence with PRKCB identified as a prognostic biomarker in colorectal cancer and PKCβII shown to regulate anoikis resistance in colon cancer cells, though the biomarker role is emerging rather than fully validated."
ENSG00000175356.14,SCUBE2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SCUBE2 CRC biomarker assessment.
ENSG00000240505.9,TNFRSF13B,0,No abstracts provided for evaluation.
ENSG00000107159.13,CA9,0,The provided abstracts discuss various aspects of colorectal cancer treatment and screening but contain no mention of CA9 (carbonic anhydrase IX) or any evidence linking it to colorectal cancer biomarker potential.
ENSG00000134028.14,ADAMDEC1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for ADAMDEC1.
ENSG00000168903.9,BTNL3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for BTNL3.
ENSG00000183454.18,GRIN2A,15,"Only one abstract mentions colorectal cancer specifically, describing Neu5Gc glycoconjugates as potential serum biomarkers, but GRIN2A is not mentioned in any of the provided abstracts."
ENSG00000227063.5,RPL41P1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000214814.7,FER1L6,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene FER1L6.
ENSG00000180660.8,MAB21L1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene MAB21L1.
ENSG00000128040.11,SPINK2,0,No abstracts provided for evaluation.
ENSG00000109339.24,MAPK10,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for MAPK10.
ENSG00000182050.13,MGAT4C,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000189056.14,RELN,0,"The abstracts discuss various aspects of colorectal cancer research including terpenoids, prolyl 3-hydroxylase 2, FGFR4, DNA methylation, and stool RNA testing, but none mention or provide evidence about the RELN gene as a CRC biomarker."
ENSG00000172260.15,NEGR1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the NEGR1 gene.
ENSG00000223573.7,TINCR,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the TINCR gene.
ENSG00000110887.8,DAO,15,"The abstracts mention colorectal cancer in various contexts but provide no evidence that the DAO gene is relevant as a CRC biomarker. The studies focus on other topics like spontaneous tumor regression, drug repurposing, multi-omics profiling, nanoparticle delivery systems, and traditional medicine, with no mention of DAO gene involvement."
ENSG00000166111.10,SVOP,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SVOP gene.
ENSG00000262097.2,LINC02185,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for LINC02185.
ENSG00000256643.1,LINC02441,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for LINC02441.
ENSG00000100626.17,GALNT16,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for GALNT16.
ENSG00000092051.17,JPH4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for JPH4.
ENSG00000151079.7,KCNA6,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the KCNA6 gene.
ENSG00000185760.17,KCNQ5,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the KCNQ5 gene.
ENSG00000149575.9,SCN2B,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SCN2B gene.
ENSG00000138678.11,GPAT3,75,"The abstracts provide strong CRC-specific evidence for GPAT3 as a biomarker, particularly showing its role in chemoresistance, lipid droplet accumulation, and tumor progression with clear mechanistic insights into lipid metabolism reprogramming and immune evasion in colorectal cancer."
ENSG00000168824.14,NSG1,65,"The abstracts provide strong CRC-specific evidence with multiple studies directly investigating colorectal cancer, including KRAS mutations, therapeutic targets, and survival outcomes, but the biomarker potential is emerging rather than fully validated."
ENSG00000177098.9,SCN4B,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SCN4B gene.
ENSG00000108823.16,SGCA,0,No abstracts provided for evaluation.
ENSG00000130055.14,GDPD2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the GDPD2 gene.
ENSG00000111700.13,SLCO1B3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene SLCO1B3.
ENSG00000132915.11,PDE6A,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000205221.12,VIT,45,"The abstracts mention colorectal cancer in the context of computational pathology and image analysis methods, but VIT appears to refer to Vision Transformers (ViTs) rather than a gene, with no evidence of biomarker potential for colorectal cancer diagnosis or prognosis."
ENSG00000134827.8,TCN1,15,"While abstract [5] mentions testing against human colon cancer cells (HCT116), TCN1 is not mentioned in any of the provided abstracts, which focus on other genes and biomarkers for CRC screening and diagnosis."
ENSG00000172348.15,RCAN2,85,"The abstracts provide strong, direct evidence for RCAN2 as a CRC biomarker, demonstrating its decreased expression in CRC tissues and cells, specific association with KRAS mutations, and mechanistic role in cancer stem cell properties through calcineurin-NFAT signaling pathways."
ENSG00000257588.1,AQP5-AS1,0,No abstracts provided for evaluation.
ENSG00000188641.14,DPYD,75,"The abstracts provide strong CRC-specific evidence for DPYD as a pharmacogenomic biomarker, with multiple studies demonstrating its role in predicting fluoropyrimidine toxicity and treatment response in colorectal cancer patients, though the focus is primarily on drug metabolism rather than disease diagnosis or prognosis."
ENSG00000171303.7,KCNK3,0,"The provided abstracts discuss colorectal cancer screening, polyp segmentation, surveillance guidelines, clinical trial reproduction, and Crohn's disease diagnosis, but contain no mention of the KCNK3 gene or its role as a biomarker."
ENSG00000181234.9,TMEM132C,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for TMEM132C.
ENSG00000249167.2,SEMA6A-AS2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene SEMA6A-AS2.
ENSG00000154258.17,ABCA9,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the ABCA9 gene.
ENSG00000083782.8,EPYC,0,No abstracts provided for evaluation.
ENSG00000204424.10,LY6G6F,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene LY6G6F.
ENSG00000211941.3,IGHV3-11,20,"While multiple abstracts mention colorectal cancer, IGHV3-11 is not specifically discussed as a CRC biomarker in any of the provided abstracts, with most focusing on treatment strategies, other molecular targets, or antibody characterization rather than IGHV3-11's biomarker potential."
ENSG00000118729.12,CASQ2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for CASQ2.
ENSG00000101098.13,RIMS4,0,No abstracts provided for evaluation.
ENSG00000171916.17,LGALS9C,45,"The abstract mentions LGALS9C in the context of rectal adenocarcinoma (a type of CRC) as part of a prognostic gene signature, but provides limited specific evidence about its biomarker utility beyond noting its negative correlation with immune infiltrates."
ENSG00000103544.15,VPS35L,0,No abstracts provided for evaluation.
ENSG00000153446.16,C16orf89,0,No abstracts provided for evaluation.
ENSG00000226306.6,NPY6R,0,No abstracts provided for evaluation.
ENSG00000179277.9,MEIS3P1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000121871.4,SLITRK3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SLITRK3.
ENSG00000179314.14,WSCD1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the WSCD1 gene.
ENSG00000173320.12,STOX2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the STOX2 gene.
ENSG00000249306.6,LINC01411,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for LINC01411.
